dataset,harness,model,tree,auditable,commands,wrapper_calls,flagged_commands,of_which_scripts,of_which_inline,of_which_train_py_direct
airline,openclaw,deepseek-v4.1-flash,bench3_ollama_final,False,,,,,,
airline,openclaw,glm-5.3-flash,bench3_ollama_final,False,,,,,,
airline,openclaw,gpt-oss:120b,bench3_ollama_final,False,,,,,,
airline,openclaw,gpt-oss:20b,bench3_ollama_final,False,,,,,,
airline,openclaw,nemotron-3-nano:30b,bench3_ollama_final,False,,,,,,
airline,openclaw,nemotron-3-super,bench3_ollama_final,False,,,,,,
airline,openclaw,nemotron-3-ultra,bench3_ollama_final,False,,,,,,
airline,opencode,deepseek-v4-flash:0731,bench3_ollama_final,True,1010,351,2,0,0,2
airline,opencode,deepseek-v4-pro:0813,bench3_ollama_final,True,129,53,0,0,0,0
airline,opencode,deepseek-v4.1-flash,bench3_ollama_final,True,72,41,0,0,0,0
airline,opencode,glm-5.3,bench3_ollama_final,True,88,41,0,0,0,0
airline,opencode,glm-5.3-flash,bench3_ollama_final,True,99,44,0,0,0,0
airline,opencode,gpt-oss:120b,bench3_ollama_final,True,0,0,0,0,0,0
airline,opencode,gpt-oss:20b,bench3_ollama_final,True,1,1,0,0,0,0
airline,opencode,nemotron-3-nano:30b,bench3_ollama_final,True,9,3,0,0,0,0
airline,opencode,nemotron-3-super,bench3_ollama_final,True,102,23,4,0,0,4
airline,opencode,nemotron-3-ultra,bench3_ollama_final,True,90,30,0,0,0,0
airline,pi,deepseek-v4-flash:0731,bench3_ollama_final,True,70,42,0,0,0,0
airline,pi,deepseek-v4-pro:0813,bench3_ollama_final,True,65,42,0,0,0,0
airline,pi,deepseek-v4.1-flash,bench3_ollama_final,True,60,42,0,0,0,0
airline,pi,glm-5.3,bench3_ollama_final,True,78,43,0,0,0,0
airline,pi,glm-5.3-flash,bench3_ollama_final,True,56,44,0,0,0,0
airline,pi,gpt-oss:120b,bench3_ollama_final,True,53,17,0,0,0,0
airline,pi,gpt-oss:20b,bench3_ollama_final,True,0,0,0,0,0,0
airline,pi,nemotron-3-nano:30b,bench3_ollama_final,True,82,17,0,0,0,0
airline,pi,nemotron-3-super,bench3_ollama_final,True,171,40,8,0,0,8
airline,pi,nemotron-3-ultra,bench3_ollama_final,True,90,40,2,0,0,2
airline,claude,deepseek-4.1-flash,bench4_lunaroute,False,,,,,,
airline,claude,glm-5.3,bench4_lunaroute,False,,,,,,
airline,claude,glm-5.3-flash,bench4_lunaroute,False,,,,,,
airline,codex,deepseek-4.1-flash,bench4_lunaroute,True,0,0,0,0,0,0
airline,codex,glm-5.3,bench4_lunaroute,True,52,40,0,0,0,0
airline,codex,glm-5.3-flash,bench4_lunaroute,True,54,40,0,0,0,0
airline,hermes,deepseek-4.1-flash,bench4_lunaroute,True,55,41,0,0,0,0
airline,hermes,glm-5.3,bench4_lunaroute,True,75,41,0,0,0,0
airline,hermes,glm-5.3-flash,bench4_lunaroute,True,86,42,1,0,1,0
airline,openclaw,deepseek-4.1-flash,bench4_lunaroute,False,,,,,,
airline,openclaw,glm-5.3,bench4_lunaroute,False,,,,,,
airline,openclaw,glm-5.3-flash,bench4_lunaroute,False,,,,,,
airline,opencode,deepseek-4.1-flash,bench4_lunaroute,True,75,42,0,0,0,0
airline,opencode,glm-5.3,bench4_lunaroute,True,69,41,0,0,0,0
airline,opencode,glm-5.3-flash,bench4_lunaroute,True,61,42,0,0,0,0
airline,pi,deepseek-4.1-flash,bench4_lunaroute,True,77,41,0,0,0,0
airline,pi,glm-5.3,bench4_lunaroute,True,88,16,10,10,0,0
airline,pi,glm-5.3-flash,bench4_lunaroute,True,89,44,5,0,5,0
credit,claude,deepseek-v4-flash:0731,bench3_credit_final,False,,,,,,
credit,claude,deepseek-v4.1-flash,bench3_credit_final,False,,,,,,
credit,claude,gpt-oss:120b,bench3_credit_final,False,,,,,,
credit,claude,gpt-oss:20b,bench3_credit_final,False,,,,,,
credit,claude,nemotron-3-nano:30b,bench3_credit_final,False,,,,,,
credit,claude,nemotron-3-super,bench3_credit_final,False,,,,,,
credit,codex,deepseek-v4.1-flash,bench3_credit_final,True,84,41,3,0,3,0
credit,codex,gpt-oss:120b,bench3_credit_final,True,22,7,0,0,0,0
credit,codex,gpt-oss:20b,bench3_credit_final,True,9,0,0,0,0,0
credit,codex,nemotron-3-nano:30b,bench3_credit_final,True,49,9,0,0,0,0
credit,codex,nemotron-3-super,bench3_credit_final,True,68,9,0,0,0,0
credit,hermes,deepseek-v4-flash:0731,bench3_credit_final,True,86,41,0,0,0,0
credit,hermes,deepseek-v4.1-flash,bench3_credit_final,True,82,41,0,0,0,0
credit,hermes,gpt-oss:120b,bench3_credit_final,True,27,9,0,0,0,0
credit,hermes,gpt-oss:20b,bench3_credit_final,True,22,3,0,0,0,0
credit,hermes,nemotron-3-nano:30b,bench3_credit_final,True,62,7,0,0,0,0
credit,hermes,nemotron-3-super,bench3_credit_final,True,103,20,0,0,0,0
credit,openclaw,deepseek-v4-flash:0731,bench3_credit_final,False,,,,,,
credit,openclaw,deepseek-v4.1-flash,bench3_credit_final,False,,,,,,
credit,openclaw,gpt-oss:120b,bench3_credit_final,False,,,,,,
credit,openclaw,gpt-oss:20b,bench3_credit_final,False,,,,,,
credit,openclaw,nemotron-3-nano:30b,bench3_credit_final,False,,,,,,
credit,openclaw,nemotron-3-super,bench3_credit_final,False,,,,,,
credit,opencode,deepseek-v4-flash:0731,bench3_credit_final,True,588,50,1,0,1,0
credit,opencode,deepseek-v4.1-flash,bench3_credit_final,True,77,41,0,0,0,0
credit,opencode,gpt-oss:120b,bench3_credit_final,True,21,7,0,0,0,0
credit,opencode,gpt-oss:20b,bench3_credit_final,True,0,0,0,0,0,0
credit,opencode,nemotron-3-nano:30b,bench3_credit_final,True,14,3,0,0,0,0
credit,opencode,nemotron-3-super,bench3_credit_final,True,22,5,0,0,0,0
credit,pi,deepseek-v4-flash:0731,bench3_credit_final,True,115,49,0,0,0,0
credit,pi,deepseek-v4.1-flash,bench3_credit_final,True,100,41,0,0,0,0
credit,pi,gpt-oss:120b,bench3_credit_final,True,52,19,0,0,0,0
credit,pi,gpt-oss:20b,bench3_credit_final,True,56,16,0,0,0,0
credit,pi,nemotron-3-nano:30b,bench3_credit_final,True,47,6,0,0,0,0
credit,pi,nemotron-3-super,bench3_credit_final,True,108,15,0,0,0,0
credit,claude,deepseek-4.1-flash,bench6_credit_pass1,False,,,,,,
credit,claude,glm-5.3,bench6_credit_pass1,False,,,,,,
credit,claude,glm-5.3-flash,bench6_credit_pass1,False,,,,,,
credit,codex,deepseek-4.1-flash,bench6_credit_pass1,True,0,0,0,0,0,0
credit,codex,glm-5.3,bench6_credit_pass1,True,0,0,0,0,0,0
credit,codex,glm-5.3-flash,bench6_credit_pass1,True,58,40,0,0,0,0
credit,hermes,deepseek-4.1-flash,bench6_credit_pass1,True,55,41,0,0,0,0
credit,hermes,glm-5.3,bench6_credit_pass1,True,8,6,0,0,0,0
credit,hermes,glm-5.3-flash,bench6_credit_pass1,True,96,42,0,0,0,0
credit,openclaw,deepseek-4.1-flash,bench6_credit_pass1,False,,,,,,
credit,openclaw,glm-5.3,bench6_credit_pass1,False,,,,,,
credit,openclaw,glm-5.3-flash,bench6_credit_pass1,False,,,,,,
credit,opencode,deepseek-4.1-flash,bench6_credit_pass1,True,73,42,0,0,0,0
credit,opencode,glm-5.3,bench6_credit_pass1,True,11,4,0,0,0,0
credit,opencode,glm-5.3-flash,bench6_credit_pass1,True,73,41,0,0,0,0
credit,pi,deepseek-4.1-flash,bench6_credit_pass1,True,71,42,0,0,0,0
credit,pi,glm-5.3,bench6_credit_pass1,True,24,11,0,0,0,0
credit,pi,glm-5.3-flash,bench6_credit_pass1,True,70,41,0,0,0,0
