box,harness,model,seed,api_calls,reasoning_tokens,output_tokens,input_tokens
runs,opencode,glm-5.3-flash,6,98,20633,17546,3558147
runs,opencode,glm-5.3-flash,7,146,33327,19785,5909214
runs,opencode,glm-5.3-flash,8,151,26762,32252,7951829
runs,opencode,glm-5.3-flash,9,143,21104,39018,7454071
runs,pi,deepseek-4.1-flash,1,216,31940,60656,4735733
runs,pi,deepseek-4.1-flash,10,194,35965,80732,5447682
runs,pi,deepseek-4.1-flash,11,212,25072,46733,3692075
runs,pi,deepseek-4.1-flash,12,131,27466,47005,1969278
runs,pi,deepseek-4.1-flash,13,186,36616,90224,5648242
runs,pi,deepseek-4.1-flash,2,182,24361,42469,2780742
runs,pi,deepseek-4.1-flash,3,166,33172,67129,3677719
runs,pi,deepseek-4.1-flash,4,156,29160,52847,2654014
runs,pi,deepseek-4.1-flash,5,273,46173,77424,6513361
runs,pi,deepseek-4.1-flash,6,200,19656,42270,3301299
runs,pi,deepseek-4.1-flash,7,125,16451,30225,1558247
runs,pi,deepseek-4.1-flash,8,164,25535,42293,2424789
runs,pi,deepseek-4.1-flash,9,236,28330,56717,4682631
runs,pi,glm-5.3-flash,1,244,23637,47072,4457084
runs,pi,glm-5.3-flash,10,235,19421,40503,4037705
runs,pi,glm-5.3-flash,11,159,21195,37537,2285626
runs,pi,glm-5.3-flash,12,212,25847,54854,4205280
runs,pi,glm-5.3-flash,13,158,30909,69654,3558081
runs,pi,glm-5.3-flash,2,326,35563,94723,8849257
runs,pi,glm-5.3-flash,3,180,25541,49359,3129936
runs,pi,glm-5.3-flash,4,236,42355,120023,6620365
runs,pi,glm-5.3-flash,5,190,29940,96743,4673438
runs,pi,glm-5.3-flash,6,273,29784,90691,7914195
runs,pi,glm-5.3-flash,7,125,20281,37647,1888964
runs,pi,glm-5.3-flash,8,164,43218,70011,3586567
runs,pi,glm-5.3-flash,9,149,13474,28382,1796177
runs,hermes,deepseek-4.1-flash,14,145,33416,69827,11975812
runs,hermes,deepseek-4.1-flash,16,71,16158,33716,3106763
runs,hermes,deepseek-4.1-flash,17,113,38927,67967,7708687
runs,hermes,deepseek-4.1-flash,18,165,39153,72796,13894668
runs,hermes,deepseek-4.1-flash,19,132,35411,63408,9346669
runs,hermes,deepseek-4.1-flash,20,131,19647,46224,8081519
runs,hermes,deepseek-4.1-flash,21,182,57828,123526,19078542
runs,hermes,deepseek-4.1-flash,22,93,29414,70229,6397042
runs,hermes,deepseek-4.1-flash,23,167,46370,92821,15999357
runs,hermes,deepseek-4.1-flash,24,83,26189,48264,4244997
runs,hermes,deepseek-4.1-flash,25,112,19991,43501,6631152
runs,hermes,deepseek-4.1-flash,26,147,37852,71519,11061851
runs,hermes,glm-5.3-flash,14,112,17110,38925,5264473
runs,hermes,glm-5.3-flash,15,131,32697,63325,6772504
runs,hermes,glm-5.3-flash,16,114,25815,54289,4893931
runs,hermes,glm-5.3-flash,18,134,37199,65657,7406943
runs,hermes,glm-5.3-flash,20,156,41092,73395,8731752
runs,hermes,glm-5.3-flash,21,159,60015,151402,14825418
runs,hermes,glm-5.3-flash,22,289,39864,180217,32449074
runs,hermes,glm-5.3-flash,23,85,20641,40844,3306069
runs,hermes,glm-5.3-flash,24,90,14062,33580,3339792
runs,hermes,glm-5.3-flash,25,134,39118,63403,5994313
runs,hermes,glm-5.3-flash,26,159,2595,34662,7930636
runs,opencode,deepseek-4.1-flash,14,139,24051,23288,6195363
runs,opencode,deepseek-4.1-flash,15,136,20321,20237,5488716
runs,opencode,deepseek-4.1-flash,16,130,38831,56089,6269477
runs,opencode,deepseek-4.1-flash,17,130,45037,56326,6156640
runs,opencode,deepseek-4.1-flash,18,122,22961,20631,5110694
runs,opencode,deepseek-4.1-flash,19,58,15624,20615,1863481
runs,opencode,deepseek-4.1-flash,20,110,29071,44568,6787010
runs,opencode,deepseek-4.1-flash,21,108,17893,18115,4120641
runs,opencode,deepseek-4.1-flash,22,139,37560,42722,7237538
runs,opencode,deepseek-4.1-flash,23,127,17105,22575,4872422
runs,opencode,deepseek-4.1-flash,24,107,20312,17188,4054261
runs,opencode,deepseek-4.1-flash,25,133,25646,22629,5984002
runs,opencode,deepseek-4.1-flash,26,111,23901,21100,4527299
runs,opencode,glm-5.3-flash,14,105,18180,19148,4314635
runs,opencode,glm-5.3-flash,15,94,28153,38466,4940000
runs,opencode,glm-5.3-flash,16,81,28271,17566,3228663
runs,opencode,glm-5.3-flash,17,95,13525,16452,3130393
runs,opencode,glm-5.3-flash,18,120,25671,15245,4673603
runs,opencode,glm-5.3-flash,19,103,22903,17719,3811122
runs,opencode,glm-5.3-flash,20,105,21926,16181,3831866
runs,opencode,glm-5.3-flash,21,142,17529,18009,5439607
runs,opencode,glm-5.3-flash,22,99,25051,37483,5061132
runs,opencode,glm-5.3-flash,23,146,46467,88299,7988735
runs,opencode,glm-5.3-flash,24,138,16195,21002,5531415
runs,opencode,glm-5.3-flash,25,124,14837,14516,4170635
runs,opencode,glm-5.3-flash,26,123,28794,25552,5648109
runs,pi,deepseek-4.1-flash,14,182,50928,119041,4524629
runs,pi,deepseek-4.1-flash,15,168,21843,40131,2490717
runs,pi,deepseek-4.1-flash,16,195,34050,79946,5024470
runs,pi,deepseek-4.1-flash,17,208,36178,71847,4825887
runs,pi,deepseek-4.1-flash,18,244,28345,53063,4673390
runs,pi,deepseek-4.1-flash,19,198,28788,53058,3787052
runs,pi,deepseek-4.1-flash,20,226,27556,55074,4367130
runs,pi,deepseek-4.1-flash,21,234,34448,81683,6716234
runs,pi,deepseek-4.1-flash,22,244,42979,93323,6680790
runs,pi,deepseek-4.1-flash,23,170,22417,43072,2689849
runs,pi,deepseek-4.1-flash,24,167,32971,56379,3402127
runs,pi,deepseek-4.1-flash,25,222,46272,86815,7010661
runs,pi,deepseek-4.1-flash,26,176,18821,34044,2371403
runs,pi,glm-5.3-flash,14,141,24299,55512,2567120
runs,pi,glm-5.3-flash,15,283,51433,128436,8148471
runs,pi,glm-5.3-flash,16,149,32109,55079,2773091
runs,pi,glm-5.3-flash,17,225,24158,44326,3897785
runs,pi,glm-5.3-flash,18,200,21336,47723,3528769
runs,pi,glm-5.3-flash,19,218,21407,41581,3923946
runs,pi,glm-5.3-flash,20,114,21706,35911,1645789
runs,pi,glm-5.3-flash,21,224,48352,89478,6466788
runs,pi,glm-5.3-flash,22,145,16771,35319,1911344
runs,pi,glm-5.3-flash,23,290,29746,56409,5933203
runs,pi,glm-5.3-flash,24,256,28326,48578,4475842
runs,pi,glm-5.3-flash,25,215,22469,44867,3922568
runs,pi,glm-5.3-flash,26,265,15149,50765,4474916
runs,hermes,deepseek-4.1-flash,27,178,37917,90035,15367028
runs,hermes,deepseek-4.1-flash,28,98,23718,54427,5261865
runs,hermes,deepseek-4.1-flash,29,79,31712,58358,4658230
runs,hermes,deepseek-4.1-flash,30,89,25755,51467,4784923
runs,hermes,deepseek-4.1-flash,31,117,39596,65281,7380119
runs,hermes,deepseek-4.1-flash,32,97,49109,99018,6859398
runs,hermes,deepseek-4.1-flash,33,150,35892,76461,12626510
runs,hermes,deepseek-4.1-flash,34,125,29074,55142,8536451
runs,hermes,deepseek-4.1-flash,35,108,33692,61284,7230009
runs,hermes,deepseek-4.1-flash,36,127,28853,51710,8317358
runs,hermes,deepseek-4.1-flash,37,112,28279,49005,6201784
runs,hermes,deepseek-4.1-flash,38,117,29328,54412,7307086
runs,hermes,deepseek-4.1-flash,39,80,24963,46216,3870024
runs,hermes,glm-5.3-flash,27,222,29397,84953,17026728
runs,hermes,glm-5.3-flash,28,133,19053,39239,5709149
runs,hermes,glm-5.3-flash,29,158,36709,64100,7852060
runs,hermes,glm-5.3-flash,30,125,12075,58126,5867205
runs,hermes,glm-5.3-flash,31,161,35991,62408,7922039
runs,hermes,glm-5.3-flash,32,154,45294,97988,10196986
runs,hermes,glm-5.3-flash,33,157,9715,30613,6874742
runs,hermes,glm-5.3-flash,34,103,15324,38067,4241136
runs,hermes,glm-5.3-flash,35,159,59763,133230,10322651
runs,hermes,glm-5.3-flash,36,135,20800,67993,6652569
runs,hermes,glm-5.3-flash,37,129,7321,33086,6438203
runs,hermes,glm-5.3-flash,38,126,11568,45632,5085765
runs,hermes,glm-5.3-flash,39,117,19681,35450,4675668
runs,opencode,deepseek-4.1-flash,27,98,20952,15691,3294570
runs,opencode,deepseek-4.1-flash,28,105,32122,22447,4849581
runs,opencode,deepseek-4.1-flash,29,67,16363,12903,2004111
runs,opencode,deepseek-4.1-flash,30,125,23854,21112,5134771
runs,opencode,deepseek-4.1-flash,31,124,25747,19388,5346284
runs,opencode,deepseek-4.1-flash,32,107,42391,50638,4869814
runs,opencode,deepseek-4.1-flash,33,146,26157,25281,6769940
runs,opencode,deepseek-4.1-flash,34,139,23050,20096,5649569
runs,opencode,deepseek-4.1-flash,35,136,20738,18263,5415590
runs,opencode,deepseek-4.1-flash,36,118,38355,27799,6360071
runs,opencode,deepseek-4.1-flash,37,103,19445,16154,3516387
runs,opencode,deepseek-4.1-flash,38,73,23751,23628,3083968
runs,opencode,deepseek-4.1-flash,39,136,32139,29460,6253943
runs,opencode,glm-5.3-flash,27,177,34665,41154,10259130
runs,opencode,glm-5.3-flash,28,116,24373,19240,4704759
runs,opencode,glm-5.3-flash,29,177,48936,88610,10012963
runs,opencode,glm-5.3-flash,30,93,12077,14084,2761819
runs,opencode,glm-5.3-flash,31,160,44432,58753,8354864
runs,opencode,glm-5.3-flash,32,146,21271,24798,6161368
runs,opencode,glm-5.3-flash,33,190,76069,150555,10702204
runs,opencode,glm-5.3-flash,34,124,16353,21718,4789688
runs,opencode,glm-5.3-flash,35,94,27995,39838,4694304
runs,opencode,glm-5.3-flash,36,90,15516,18832,3244749
runs,opencode,glm-5.3-flash,37,78,13903,11869,2379945
runs,opencode,glm-5.3-flash,38,103,13291,13621,3368974
runs,opencode,glm-5.3-flash,39,137,21144,18232,5344243
runs,pi,deepseek-4.1-flash,27,125,39216,69290,2656944
runs,pi,deepseek-4.1-flash,28,196,35744,60852,4286518
runs,pi,deepseek-4.1-flash,29,151,15684,35327,1951296
runs,pi,deepseek-4.1-flash,30,137,25114,62998,2717781
runs,pi,deepseek-4.1-flash,31,170,30799,64940,4321423
runs,pi,deepseek-4.1-flash,32,180,53695,109653,4834181
runs,pi,deepseek-4.1-flash,33,178,32588,72438,4525240
runs,pi,deepseek-4.1-flash,34,181,25136,44082,2926236
runs,pi,deepseek-4.1-flash,35,200,29778,57552,4006551
runs,pi,deepseek-4.1-flash,36,200,30460,70175,4716848
runs,pi,deepseek-4.1-flash,37,128,22916,40024,1864800
runs,pi,deepseek-4.1-flash,38,149,29652,49492,2442182
runs,pi,deepseek-4.1-flash,39,182,28444,67205,4743767
runs,pi,glm-5.3-flash,27,206,26369,54295,3994179
runs,pi,glm-5.3-flash,28,164,18367,44950,4702072
runs,pi,glm-5.3-flash,29,219,16826,37067,3349996
runs,pi,glm-5.3-flash,30,207,23008,41553,3579000
runs,pi,glm-5.3-flash,31,241,37181,83128,6804532
runs,pi,glm-5.3-flash,32,194,55371,90020,5135694
runs,pi,glm-5.3-flash,33,213,16715,32135,2977643
runs,pi,glm-5.3-flash,34,288,23668,64088,7008961
runs,pi,glm-5.3-flash,35,220,24046,43006,3802486
runs,pi,glm-5.3-flash,36,284,14995,35974,4648759
runs,pi,glm-5.3-flash,37,152,30114,47692,2512138
runs,pi,glm-5.3-flash,38,179,28229,60231,3723297
runs,pi,glm-5.3-flash,39,259,23938,53434,6105284
runs,hermes,deepseek-4.1-flash,40,88,33561,60804,5395945
runs,hermes,deepseek-4.1-flash,41,71,18424,38334,3170704
runs,hermes,deepseek-4.1-flash,42,131,38113,105485,12677378
runs,hermes,deepseek-4.1-flash,43,132,26980,54265,8721604
runs,hermes,deepseek-4.1-flash,44,137,28283,54102,8842158
runs,hermes,deepseek-4.1-flash,45,136,26048,57094,9354288
runs,hermes,deepseek-4.1-flash,46,144,34710,71522,11592455
runs,hermes,deepseek-4.1-flash,47,67,23130,42432,3246644
runs,hermes,deepseek-4.1-flash,48,111,47594,76018,8623523
runs,hermes,deepseek-4.1-flash,49,147,29429,59722,10378013
runs,hermes,deepseek-4.1-flash,50,87,32948,52725,4863008
runs,hermes,deepseek-4.1-flash,51,145,31418,72393,12241577
runs,hermes,deepseek-4.1-flash,52,175,51051,100459,17700844
runs,hermes,glm-5.3-flash,40,159,20845,46111,8371270
runs,hermes,glm-5.3-flash,41,127,47914,127402,9234058
runs,hermes,glm-5.3-flash,42,169,22016,53399,8881723
runs,hermes,glm-5.3-flash,43,129,5106,49654,5942133
runs,hermes,glm-5.3-flash,44,142,41618,67767,7309445
runs,hermes,glm-5.3-flash,45,109,27980,44732,4511267
runs,hermes,glm-5.3-flash,46,250,44035,137749,22949394
runs,hermes,glm-5.3-flash,47,126,7086,52516,5331478
runs,hermes,glm-5.3-flash,48,157,14469,70605,9002104
runs,hermes,glm-5.3-flash,49,146,25457,76446,9084202
runs,hermes,glm-5.3-flash,50,210,42910,137144,21835873
runs,hermes,glm-5.3-flash,51,102,19231,43211,4253743
runs,hermes,glm-5.3-flash,52,154,31414,59392,7686452
runs,opencode,deepseek-4.1-flash,40,132,27814,25440,6154931
runs,opencode,deepseek-4.1-flash,41,80,22919,23744,3033006
runs,opencode,deepseek-4.1-flash,42,127,24458,24114,5947333
runs,opencode,deepseek-4.1-flash,43,114,17627,18482,4581064
runs,opencode,deepseek-4.1-flash,44,168,38746,60838,8148488
runs,opencode,deepseek-4.1-flash,45,118,18408,17127,4466851
runs,opencode,deepseek-4.1-flash,46,124,32135,26549,6431241
runs,opencode,deepseek-4.1-flash,47,129,16917,23991,4953819
runs,opencode,deepseek-4.1-flash,48,97,19251,17307,3602543
runs,opencode,deepseek-4.1-flash,49,118,20740,17528,4462563
runs,opencode,deepseek-4.1-flash,50,87,22228,39168,4235069
runs,opencode,deepseek-4.1-flash,51,131,29142,22057,5724123
runs,opencode,deepseek-4.1-flash,52,107,22884,20791,4150443
runs,opencode,glm-5.3-flash,40,110,25962,13744,4226765
runs,opencode,glm-5.3-flash,41,161,23469,21545,7630782
runs,opencode,glm-5.3-flash,42,169,34653,39335,9441859
runs,opencode,glm-5.3-flash,43,146,34740,31116,8852200
runs,opencode,glm-5.3-flash,44,145,18006,20428,5966719
runs,opencode,glm-5.3-flash,45,156,23787,36854,8436460
runs,opencode,glm-5.3-flash,46,107,15555,14024,3758602
runs,opencode,glm-5.3-flash,47,129,17135,19168,4646962
runs,opencode,glm-5.3-flash,48,82,35091,22875,4159331
runs,opencode,glm-5.3-flash,49,89,25067,17350,3891024
runs,opencode,glm-5.3-flash,50,151,24135,22258,6222924
runs,opencode,glm-5.3-flash,51,138,21424,21575,6137187
runs,opencode,glm-5.3-flash,52,114,10077,15718,3470797
runs,pi,deepseek-4.1-flash,40,175,38203,81022,5134636
runs,pi,deepseek-4.1-flash,41,259,61147,126980,7056280
runs,pi,deepseek-4.1-flash,42,142,24221,41830,2019360
runs,pi,deepseek-4.1-flash,43,168,17765,33432,2308201
runs,pi,deepseek-4.1-flash,44,172,26328,72216,3767313
runs,pi,deepseek-4.1-flash,45,138,30449,49151,2174708
runs,pi,deepseek-4.1-flash,46,242,46852,92102,7628811
runs,pi,deepseek-4.1-flash,47,172,24288,46192,2699432
runs,pi,deepseek-4.1-flash,48,136,19638,32918,1743998
runs,pi,deepseek-4.1-flash,49,139,34894,90047,3986310
runs,pi,deepseek-4.1-flash,50,188,31130,80682,4755575
runs,pi,deepseek-4.1-flash,51,216,28244,53141,4241682
runs,pi,deepseek-4.1-flash,52,156,33901,59890,3121998
runs,pi,glm-5.3-flash,40,255,41490,97919,7077840
runs,pi,glm-5.3-flash,41,152,13974,28254,1833609
runs,pi,glm-5.3-flash,42,228,19249,38243,3784414
runs,pi,glm-5.3-flash,43,183,22209,41789,2984070
runs,pi,glm-5.3-flash,44,274,23553,50451,4843515
runs,pi,glm-5.3-flash,45,158,27514,47826,2721428
runs,pi,glm-5.3-flash,46,289,32875,77221,7727273
runs,pi,glm-5.3-flash,47,184,34655,77457,4481623
runs,pi,glm-5.3-flash,48,204,21905,53970,4092292
runs,pi,glm-5.3-flash,49,256,28176,52143,5300774
runs,pi,glm-5.3-flash,50,194,16787,32522,2695307
runs,pi,glm-5.3-flash,51,248,24882,54824,4959129
runs,pi,glm-5.3-flash,52,181,37115,79890,4376161
